"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","40"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-479.12849923515023"
">","EXTENTS_TOP:","-499.5766091064384"
">","EXTENTS_RIGHT:","468.2569605005782"
">","EXTENTS_BOTTOM:","469.26994499230864"
">","EXTENTS_WIDTH:","947.3854597357284"
">","EXTENTS_HEIGHT:","968.846554098747"
">","COMMAND_STITCH","30"
">","COMMAND_COLOR_BREAK","10"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#5d727e","None","None","None","None","None"
"$","1","#6a5697","None","None","None","None","None"
"$","2","#5022c1","None","None","None","None","None"
"$","3","#a3e75b","None","None","None","None","None"
"$","4","#b0a2f6","None","None","None","None","None"
"$","5","#e85742","None","None","None","None","None"
"$","6","#a3fd56","None","None","None","None","None"
"$","7","#4f3e6a","None","None","None","None","None"
"$","8","#d6953a","None","None","None","None","None"
"$","9","#e0e126","None","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","STITCH","-158.55552724840373","55.84955389294885"
"*","1","STITCH","75.46225301632887","259.84319430822404"
"*","2","STITCH","368.3252743654607","-180.7886397787064"
"*","3","COLOR_BREAK","0","0"
"*","4","STITCH","-95.6109717716185","-424.6615457548818"
"*","5","STITCH","-173.60016122357047","308.43204354247496"
"*","6","STITCH","367.3915164041466","-294.45342456827814"
"*","7","COLOR_BREAK","0","0"
"*","8","STITCH","-306.5904424165792","301.9292231652008"
"*","9","STITCH","394.4454626644866","-204.5829472358143"
"*","10","STITCH","-479.12849923515023","143.91479440800526"
"*","11","COLOR_BREAK","0","0"
"*","12","STITCH","98.54196084976275","323.7237263867295"
"*","13","STITCH","468.2569605005782","-25.37617604973053"
"*","14","STITCH","289.8057779825248","-499.5766091064384"
"*","15","COLOR_BREAK","0","0"
"*","16","STITCH","39.38364087817524","-206.6780015466282"
"*","17","STITCH","-180.73103428296332","321.30579521318316"
"*","18","STITCH","433.41933254404057","-371.94357450173356"
"*","19","COLOR_BREAK","0","0"
"*","20","STITCH","-222.2213565925021","138.97514271002376"
"*","21","STITCH","-424.5680907473264","387.34675993507074"
"*","22","STITCH","-41.01112453590673","-435.5104530829621"
"*","23","COLOR_BREAK","0","0"
"*","24","STITCH","-151.91705781495256","-176.73701022447642"
"*","25","STITCH","-96.62248857992438","68.04284890650467"
"*","26","STITCH","-194.44743527055766","-158.5659339667904"
"*","27","COLOR_BREAK","0","0"
"*","28","STITCH","56.43648011800906","-386.30613486614277"
"*","29","STITCH","-85.7516943699066","-38.458547006356866"
"*","30","STITCH","-309.45025626112977","469.26994499230864"
"*","31","COLOR_BREAK","0","0"
"*","32","STITCH","-237.8303482240529","-132.18201222839042"
"*","33","STITCH","187.9705761604689","144.24545471056217"
"*","34","STITCH","-412.00257052099346","106.44037391338406"
"*","35","COLOR_BREAK","0","0"
"*","36","STITCH","355.2838569597925","166.08665373193242"
"*","37","STITCH","-190.14865423727724","-373.24635209574996"
"*","38","STITCH","-36.59202165853736","-152.167279049645"
"*","39","COLOR_BREAK","0","0"
