"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","40"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-491.2137670410619"
">","EXTENTS_TOP:","-408.0955044933534"
">","EXTENTS_RIGHT:","479.21323489403926"
">","EXTENTS_BOTTOM:","494.7679952003667"
">","EXTENTS_WIDTH:","970.4270019351011"
">","EXTENTS_HEIGHT:","902.8634996937201"
">","COMMAND_STITCH","30"
">","COMMAND_COLOR_BREAK","10"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#b6303c","None","None","None","None","None"
"$","1","#e2798f","None","None","None","None","None"
"$","2","#721cbc","None","None","None","None","None"
"$","3","#caa1c1","None","None","None","None","None"
"$","4","#7a708d","None","None","None","None","None"
"$","5","#a5931d","None","None","None","None","None"
"$","6","#4fdf50","None","None","None","None","None"
"$","7","#414c73","None","None","None","None","None"
"$","8","#740ff6","None","None","None","None","None"
"$","9","#c38e16","None","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","STITCH","-275.5476925322862","155.8708483694918"
"*","1","STITCH","-443.6309821042741","363.3566653487959"
"*","2","STITCH","-347.05288698542427","345.93513389035866"
"*","3","COLOR_BREAK","0","0"
"*","4","STITCH","213.8308561045684","138.689767211059"
"*","5","STITCH","166.46911535161576","494.7679952003667"
"*","6","STITCH","-242.21073943619297","388.7681261622571"
"*","7","COLOR_BREAK","0","0"
"*","8","STITCH","-39.68348824005585","-389.96291752417415"
"*","9","STITCH","-480.1824137607285","-282.2200335503127"
"*","10","STITCH","479.21323489403926","245.73868537866895"
"*","11","COLOR_BREAK","0","0"
"*","12","STITCH","155.76060465928765","-250.8876512751156"
"*","13","STITCH","-445.30697146315777","486.1629271320834"
"*","14","STITCH","-491.2137670410619","4.93360150504941"
"*","15","COLOR_BREAK","0","0"
"*","16","STITCH","-282.7262122335828","308.4359158768517"
"*","17","STITCH","363.39292004594915","402.08597840777963"
"*","18","STITCH","126.94671816777611","-282.8317977502303"
"*","19","COLOR_BREAK","0","0"
"*","20","STITCH","-333.09624283832943","164.19110967753215"
"*","21","STITCH","-48.889765220834875","-144.3539841202325"
"*","22","STITCH","162.48342258559228","412.4036124273787"
"*","23","COLOR_BREAK","0","0"
"*","24","STITCH","345.12645099505596","-328.18632592040706"
"*","25","STITCH","-113.60564866630938","-336.4254608136692"
"*","26","STITCH","38.35679172011942","214.5039645762082"
"*","27","COLOR_BREAK","0","0"
"*","28","STITCH","465.72929772694727","-167.09187326585715"
"*","29","STITCH","-229.18052111093078","350.8460810831374"
"*","30","STITCH","-21.177884326207618","485.67584153777557"
"*","31","COLOR_BREAK","0","0"
"*","32","STITCH","330.48103566251234","-211.9631590093901"
"*","33","STITCH","-402.4032067739387","209.30943313573732"
"*","34","STITCH","-310.47388556163605","-408.0955044933534"
"*","35","COLOR_BREAK","0","0"
"*","36","STITCH","-436.93753651996417","349.24061316074756"
"*","37","STITCH","30.865050078995523","-89.33805049991093"
"*","38","STITCH","355.82286245109094","224.04761043158953"
"*","39","COLOR_BREAK","0","0"
