"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","131"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-40.000000000000085"
">","EXTENTS_TOP:","-987.2689603142594"
">","EXTENTS_RIGHT:","1110.0000000000002"
">","EXTENTS_BOTTOM:","138.56406460551028"
">","EXTENTS_WIDTH:","1150.0000000000002"
">","EXTENTS_HEIGHT:","1125.8330249197697"
">","COMMAND_STITCH","125"
">","COMMAND_COLOR_BREAK","2"
">","COMMAND_SEQUENCE_BREAK","2"
">","COMMAND_STOP","1"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","STITCH","20.0","0.0"
"*","1","STITCH","30.0","17.32050807568877"
"*","2","STITCH","10.0","17.320508075688775"
"*","3","STITCH","-3.552713678800501e-15","34.64101615137754"
"*","4","STITCH","19.999999999999996","34.64101615137755"
"*","5","STITCH","40.0","34.641016151377556"
"*","6","STITCH","50.00000000000001","17.32050807568879"
"*","7","STITCH","70.0","17.3205080756888"
"*","8","STITCH","80.0","34.64101615137758"
"*","9","STITCH","90.0","51.961524227066356"
"*","10","STITCH","70.0","51.961524227066356"
"*","11","STITCH","59.99999999999999","34.641016151377585"
"*","12","STITCH","49.999999999999986","51.961524227066356"
"*","13","STITCH","59.99999999999998","69.28203230275514"
"*","14","STITCH","49.99999999999997","86.6025403784439"
"*","15","STITCH","29.99999999999997","86.6025403784439"
"*","16","STITCH","9.999999999999972","86.6025403784439"
"*","17","STITCH","19.999999999999957","69.28203230275513"
"*","18","STITCH","39.99999999999996","69.2820323027551"
"*","19","STITCH","29.99999999999995","51.961524227066334"
"*","20","STITCH","9.99999999999995","51.961524227066334"
"*","21","STITCH","-5.3290705182007514e-14","69.28203230275511"
"*","22","STITCH","-20.000000000000053","69.28203230275511"
"*","23","STITCH","-10.000000000000068","51.961524227066334"
"*","24","STITCH","-20.000000000000078","34.64101615137757"
"*","25","STITCH","-30.00000000000008","51.96152422706634"
"*","26","STITCH","-40.000000000000085","69.28203230275511"
"*","27","STITCH","-30.000000000000092","86.60254037844389"
"*","28","STITCH","-10.000000000000092","86.6025403784439"
"*","29","STITCH","-9.769962616701378e-14","103.92304845413268"
"*","30","STITCH","-20.0000000000001","103.92304845413268"
"*","31","STITCH","-30.000000000000103","121.24355652982146"
"*","32","STITCH","-10.000000000000103","121.24355652982148"
"*","33","STITCH","9.999999999999897","121.24355652982149"
"*","34","STITCH","19.999999999999908","103.92304845413273"
"*","35","STITCH","39.99999999999991","103.92304845413274"
"*","36","STITCH","49.9999999999999","121.24355652982152"
"*","37","STITCH","29.9999999999999","121.24355652982152"
"*","38","STITCH","19.999999999999897","138.56406460551028"
"*","39","STITCH","39.9999999999999","138.56406460551028"
"*","40","STITCH","59.9999999999999","138.56406460551028"
"*","41","STITCH","69.99999999999991","121.24355652982152"
"*","42","STITCH","59.99999999999993","103.92304845413274"
"*","43","STITCH","69.99999999999994","86.60254037844398"
"*","44","STITCH","79.99999999999996","69.28203230275521"
"*","45","STITCH","89.99999999999996","86.60254037844399"
"*","46","STITCH","79.99999999999996","103.92304845413275"
"*","47","STITCH","99.99999999999996","103.92304845413277"
"*","48","STITCH","109.99999999999997","86.602540378444"
"*","49","COLOR_BREAK","0","0"
"*","50","STITCH","630.0","86.60254037844425"
"*","51","STITCH","640.0","69.28203230275548"
"*","52","STITCH","630.0","51.961524227066704"
"*","53","STITCH","640.0","34.64101615137794"
"*","54","STITCH","660.0","34.64101615137795"
"*","55","STITCH","670.0","51.961524227066725"
"*","56","STITCH","660.0","69.2820323027555"
"*","57","STITCH","670.0","86.60254037844427"
"*","58","STITCH","690.0","86.60254037844429"
"*","59","SEQUENCE_BREAK","0","0"
"*","60","STOP","0","0"
"*","61","STITCH","760.0","86.60254037844433"
"*","62","STITCH","770.0","69.28203230275557"
"*","63","STITCH","760.0","51.96152422706679"
"*","64","STITCH","770.0","34.641016151378025"
"*","65","STITCH","790.0","34.64101615137803"
"*","66","STITCH","800.0","51.96152422706681"
"*","67","STITCH","790.0","69.28203230275558"
"*","68","STITCH","800.0","86.60254037844436"
"*","69","STITCH","820.0","86.60254037844437"
"*","70","SEQUENCE_BREAK","0","0"
"*","71","STITCH","1080.0000000000002","-363.7306695894636"
"*","72","STITCH","1070.0000000000002","-381.0511776651524"
"*","73","STITCH","1050.0000000000002","-381.0511776651524"
"*","74","STITCH","1040.0000000000002","-398.3716857408412"
"*","75","STITCH","1050.0000000000002","-415.69219381653"
"*","76","STITCH","1070.0000000000002","-415.69219381653"
"*","77","STITCH","1080.0000000000002","-398.3716857408412"
"*","78","STITCH","1100.0000000000002","-398.3716857408412"
"*","79","STITCH","1110.0000000000002","-415.69219381653"
"*","80","COLOR_BREAK","0","0"
"*","81","STITCH","850.0000000000006","-866.0254037844383"
"*","82","STITCH","860.0000000000006","-883.345911860127"
"*","83","STITCH","870.0000000000006","-866.0254037844383"
"*","84","STITCH","890.0000000000006","-866.0254037844383"
"*","85","STITCH","880.0000000000006","-883.345911860127"
"*","86","STITCH","870.0000000000006","-900.6664199358157"
"*","87","STITCH","850.0000000000006","-900.6664199358157"
