"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","126"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","100"
">","EXTENTS_BOTTOM:","100"
">","EXTENTS_WIDTH:","100"
">","EXTENTS_HEIGHT:","100"
">","COMMAND_STITCH","80"
">","COMMAND_COLOR_BREAK","16"
">","COMMAND_MATRIX_TRANSLATE","15"
">","COMMAND_MATRIX_ROTATE","15"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#ff0000","None","None","None","None","None"
"$","1","#0000ff","None","None","None","None","None"
"$","2","#008000","None","None","None","None","None"
"$","3","#808080","None","None","None","None","None"
"$","4","#ffd700","None","None","None","None","None"
"$","5","#fffff0","None","None","None","None","None"
"$","6","#f0e68c","None","None","None","None","None"
"$","7","#fdf5e6","None","None","None","None","None"
"$","8","#808000","None","None","None","None","None"
"$","9","#ffc0cb","None","None","None","None","None"
"$","10","#800080","None","None","None","None","None"
"$","11","#d2b48c","None","None","None","None","None"
"$","12","#ee82ee","None","None","None","None","None"
"$","13","#ffffff","None","None","None","None","None"
"$","14","#fa8072","None","None","None","None","None"
"$","15","#00ff00","None","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","STITCH","0","0"
"*","1","STITCH","0","100"
"*","2","STITCH","100","100"
"*","3","STITCH","100","0"
"*","4","STITCH","0","0"
"*","5","COLOR_BREAK","0","0"
"*","6","MATRIX_TRANSLATE","25","25"
"*","7","MATRIX_ROTATE","22.5","0"
"*","8","STITCH","0","0"
"*","9","STITCH","0","100"
"*","10","STITCH","100","100"
"*","11","STITCH","100","0"
"*","12","STITCH","0","0"
"*","13","COLOR_BREAK","0","0"
"*","14","MATRIX_TRANSLATE","25","25"
"*","15","MATRIX_ROTATE","22.5","0"
"*","16","STITCH","0","0"
"*","17","STITCH","0","100"
"*","18","STITCH","100","100"
"*","19","STITCH","100","0"
"*","20","STITCH","0","0"
"*","21","COLOR_BREAK","0","0"
"*","22","MATRIX_TRANSLATE","25","25"
"*","23","MATRIX_ROTATE","22.5","0"
"*","24","STITCH","0","0"
"*","25","STITCH","0","100"
"*","26","STITCH","100","100"
"*","27","STITCH","100","0"
"*","28","STITCH","0","0"
"*","29","COLOR_BREAK","0","0"
"*","30","MATRIX_TRANSLATE","25","25"
"*","31","MATRIX_ROTATE","22.5","0"
"*","32","STITCH","0","0"
"*","33","STITCH","0","100"
"*","34","STITCH","100","100"
"*","35","STITCH","100","0"
"*","36","STITCH","0","0"
"*","37","COLOR_BREAK","0","0"
"*","38","MATRIX_TRANSLATE","25","25"
"*","39","MATRIX_ROTATE","22.5","0"
"*","40","STITCH","0","0"
"*","41","STITCH","0","100"
"*","42","STITCH","100","100"
"*","43","STITCH","100","0"
"*","44","STITCH","0","0"
"*","45","COLOR_BREAK","0","0"
"*","46","MATRIX_TRANSLATE","25","25"
"*","47","MATRIX_ROTATE","22.5","0"
"*","48","STITCH","0","0"
"*","49","STITCH","0","100"
"*","50","STITCH","100","100"
"*","51","STITCH","100","0"
"*","52","STITCH","0","0"
"*","53","COLOR_BREAK","0","0"
"*","54","MATRIX_TRANSLATE","25","25"
"*","55","MATRIX_ROTATE","22.5","0"
"*","56","STITCH","0","0"
"*","57","STITCH","0","100"
"*","58","STITCH","100","100"
"*","59","STITCH","100","0"
"*","60","STITCH","0","0"
"*","61","COLOR_BREAK","0","0"
"*","62","MATRIX_TRANSLATE","25","25"
"*","63","MATRIX_ROTATE","22.5","0"
"*","64","STITCH","0","0"
"*","65","STITCH","0","100"
"*","66","STITCH","100","100"
"*","67","STITCH","100","0"
"*","68","STITCH","0","0"
"*","69","COLOR_BREAK","0","0"
"*","70","MATRIX_TRANSLATE","25","25"
"*","71","MATRIX_ROTATE","22.5","0"
"*","72","STITCH","0","0"
"*","73","STITCH","0","100"
"*","74","STITCH","100","100"
"*","75","STITCH","100","0"
"*","76","STITCH","0","0"
"*","77","COLOR_BREAK","0","0"
"*","78","MATRIX_TRANSLATE","25","25"
"*","79","MATRIX_ROTATE","22.5","0"
"*","80","STITCH","0","0"
"*","81","STITCH","0","100"
"*","82","STITCH","100","100"
"*","83","STITCH","100","0"
"*","84","STITCH","0","0"
"*","85","COLOR_BREAK","0","0"
"*","86","MATRIX_TRANSLATE","25","25"
"*","87","MATRIX_ROTATE","22.5","0"
"*","88","STITCH","0","0"
"*","89","STITCH","0","100"
"*","90","STITCH","100","100"
"*","91","STITCH","100","0"
"*","92","STITCH","0","0"
"*","93","COLOR_BREAK","0","0"
"*","94","MATRIX_TRANSLATE","25","25"
"*","95","MATRIX_ROTATE","22.5","0"
"*","96","STITCH","0","0"
"*","97","STITCH","0","100"
"*","98","STITCH","100","100"
"*","99","STITCH","100","0"
"*","100","STITCH","0","0"
"*","101","COLOR_BREAK","0","0"
"*","102","MATRIX_TRANSLATE","25","25"
"*","103","MATRIX_ROTATE","22.5","0"
"*","104","STITCH","0","0"
"*","105","STITCH","0","100"
"*","106","STITCH","100","100"
"*","107","STITCH","100","0"
"*","108","STITCH","0","0"
"*","109","COLOR_BREAK","0","0"
"*","110","MATRIX_TRANSLATE","25","25"
"*","111","MATRIX_ROTATE","22.5","0"
"*","112","STITCH","0","0"
"*","113","STITCH","0","100"
"*","114","STITCH","100","100"
"*","115","STITCH","100","0"
"*","116","STITCH","0","0"
"*","117","COLOR_BREAK","0","0"
"*","118","MATRIX_TRANSLATE","25","25"
"*","119","MATRIX_ROTATE","22.5","0"
"*","120","STITCH","0","0"
"*","121","STITCH","0","100"
"*","122","STITCH","100","100"
"*","123","STITCH","100","0"
"*","124","STITCH","0","0"
"*","125","COLOR_BREAK","0","0"
